Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Muslim percentage of total population,Buddhist (%),Jewish (%),"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsibility,Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Incarceration rate per 100000,"Gender disparity, elderly (65+), rate",Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories),Average yearly temperature (Celsius)
Uruguay,17313.0,53.88,10.8,305.0,,0.809,8.61,,41.0,58.1, 0.1,0.1,0.099,6.2,13,5816.0,50.0,31.1,1697.0,18.8,1.49,899.4,27.9,2910000.0,35.5,68.6,,0.27,77.1,57.7,408,97.1,24.0,4.9,,,210.54,535.0,3231.0,3202.0,17.55
Oman,19509.0,57.53,0.8,11.0,5.2,0.816,3.0,,,6.5,86,0.8,,11.0,9,10263.0,35.0,,639.0,4.5,2.62,271.1,27.0,3717818.0,26.2,61.0,1063251.0,1.8,73.9,43.34,46,41.9,24.8,6.8,,,152.28,562.0,7.0,2940.0,25.6
Hungary,18728.0,193.8,11.4,75.0,,0.846,6.56,32.0,39.0,52.87,0.4–0.6,0.1,0.29,4.0,12,9184.0,160.0,28.3,1080.0,11.8,1.59,2060.3,26.4,7461297.0,43.6,65.0,17873.0,-0.31,76.4,79.73,194,99.1,30.1,4.7,30.7,,159.05,1250.0,9589.0,3316.0,9.75
Seychelles,12085.0,,13.8,5.0,,0.785,,,,94.7,1.1,0.1,,13.9,7,3282.0,180.0,32.1,792.0,7.7,2.46,543.6,14.0,55677.0,36.8,61.4,,0.6,73.3,,360,71.5,25.2,4.4,,,79.23,1119.0,,,27.15
Croatia,16983.0,57.3,8.9,33.0,,0.858,6.5,,70.0,87.4,1.5,0.1,0.010,4.6,14,7075.0,74.0,28.9,1025.0,11.0,1.62,1578.9,24.4,2811056.0,43.9,61.4,10977.0,-0.47,78.6,75.3,102,97.1,28.9,4.6,7.0,,231.02,2010.0,,3074.0,10.9
Guyana,9999.0,45.37,6.3,131.0,,0.714,6.01,,,62.7,7.3,0.1,,28.4,,2015.0,36.0,44.6,299.0,40.9,2.4,359.1,20.2,290375.0,27.5,56.8,275545.0,0.28,65.7,45.22,271,49.9,21.5,6.3,,,141.68,91.0,42.0,2913.0,26
Turks and Caicos Islands,20909.0,,,2.0,,,,,,, 0.1,,,,,,,,,,1.67,,,,34.6,,,1.81,,,,,,,,,,247.0,,,
French Polynesia,19915.0,,,1.0,,,,,,, 0.1,0.1,,,,,,,,,1.7,,,205746.0,33.3,,,0.7,,96.09,189,,,,,,93.56,600.0,,,
Trinidad and Tobago,16033.0,79.89,8.4,448.0,,0.81,7.16,,,57.6,5.8,0.3,,16.6,,4615.0,,39.0,1056.0,8.3,1.63,682.5,18.6,1058744.0,37.8,57.0,58436.0,0.12,76.1,68.66,276,82.8,29.2,3.1,,,103.8,320.0,,2991.0,25.75
Cook Islands,19264.0,,10.6,1.0,,,,,,87.0, 0.1,,,,,,23.0,,567.0,,,,55.9,,38.3,,,-2.31,,,224,,,,,,,521.0,,,
