,Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Buddhist (%),"2020 mortality rate, under-5 (per 1000 live births)",Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories)
50,Dominica,7571.0,37.62,8.2,10.0,,0.72,,,,88.7,0.1,35.4,3081.0,55.0,,485.0,,1.59,147.4,27.9,51467.0,34.9,63.6,,0.02,,55.03,,3.4,,,136.93,292.0,,2952.0
51,Dominican Republic,8477.0,,6.9,1172.0,,0.767,6.32,,87.0,83.0,0.1,33.8,2613.0,36.0,39.6,328.0,5.1,2.27,218.9,27.6,6997472.0,27.9,61.0,,0.88,72.8,55.25,,4.3,,,73.75,33.0,1866.0,2892.0
52,Ecuador,5965.0,,4.4,2496.0,,0.74,6.13,,82.0,94.0,0.1,13.0,5850.0,57.0,47.3,497.0,7.7,2.03,93.5,19.9,9521056.0,28.8,46.9,479518.0,1.1,78.4,45.22,21.8,5.0,,,139.6,308.0,4153.0,2606.0
53,Egypt,3898.0,39.66,0.4,1360.0,,0.731,2.93,,97.0,10.0,0.1,19.5,,42.72,31.5,120.0,3.4,2.92,1449.4,32.0,75660000.0,24.1,52.5,567652.0,1.59,71.8,26.29,25.0,3.8,1200.0,,59.46,298.0,23000.0,3292.0
54,El Salvador,4551.0,,3.7,1147.0,,0.675,5.9,,83.0,81.9,0.1,12.9,3650.0,56.0,38.8,345.0,6.1,1.8,206.7,24.6,1993079.0,27.7,61.8,,0.46,75.0,30.52,22.5,3.8,,,124.34,16.0,661.0,2696.0
55,Equatorial Guinea,7605.0,,11.3,,,0.596,1.92,,,88.7,,78.5,2792.0,12.0,,271.0,13.5,4.27,328.2,8.0,332642.0,20.3,41.0,118384.0,3.36,62.2,,20.5,0.6,,,,9.0,,
56,Eritrea,623.0,,1.3,474.0,,0.492,2.15,,,67.0,,39.3,,15.0,,24.0,17.3,3.87,132.3,5.0,66402.0,20.3,38.9,,1.08,64.1,,20.6,2.1,,,11.57,20.0,970.0,
57,Estonia,27991.0,78.58,11.6,26.0,,0.89,7.84,41.0,16.0,26.8,0.1,2.1,10578.0,89.0,30.6,1553.0,12.0,1.61,1759.9,21.2,1153786.0,43.7,76.6,,-0.74,78.9,63.64,30.4,5.2,8.0,,284.85,2865.0,5809.0,3247.0
58,Eswatini,3969.0,,9.9,151.0,,0.597,3.08,,,82.7,,46.6,694.0,14.0,54.6,291.0,40.5,2.84,,16.5,414278.0,23.7,54.7,,0.72,57.7,,26.5,7.1,,,56.6,125.0,,2426.0
59,Ethiopia,825.0,,2.8,8153.0,,0.498,3.38,,,75.0,0.1,48.7,,32.0,35.0,24.0,9.5,4.16,115.3,4.5,19543075.0,19.8,53.6,,2.42,68.7,5.4,21.3,4.7,234.0,,44.14,52.0,240.0,2338.0
